City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Hithadhoo,MV,85.17,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Sabang,ID,83.88,overcast clouds,5.8933,95.3214,Hotel Citra
14,Ormara,PK,84.07,clear sky,25.2088,64.6357,Kenara Colony house for Rent
15,Wukari,NG,82.27,light rain,7.85,9.7833,Elimtop
21,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Bosaso,SO,85.08,scattered clouds,11.2842,49.1816,Red Sea Hotel
23,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
32,Myingyan,MM,83.62,clear sky,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
34,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
38,Dingle,PH,76.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
39,Bengkulu,ID,75.2,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
40,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Faanui,PF,81.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Vila Velha,BR,77.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
52,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
62,Kirakira,SB,82.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
64,Utraula,IN,77.5,clear sky,27.3167,82.4167,Taj Hotel and Lodge
67,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
69,Keti Bandar,PK,83.35,clear sky,24.1447,67.4497,Haji laloo memon house
72,Rikitea,PF,75.54,moderate rain,-23.1203,-134.9692,People ThankYou
73,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
76,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
95,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
99,Lompoc,US,78.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
100,Buala,SB,82.53,light rain,-8.145,159.5921,Maringe Lagoon Lodge
102,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
106,Kourou,GF,82.11,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
108,Oeiras,BR,85.89,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
110,Umm Lajj,SA,83.21,broken clouds,25.0213,37.2685,Moon light Furnished Units
111,Wattegama,LK,75.58,overcast clouds,6.7989,81.4808,
115,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
123,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
131,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
132,Sao Raimundo Nonato,BR,79.47,overcast clouds,-9.0153,-42.6994,Real Hotel
136,Beruwala,LK,81.09,light rain,6.4788,79.9828,The Palms Hotel
139,Russell,US,82.0,moderate rain,32.3502,-85.1999,Macs
140,Saint George,US,85.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
141,Acarau,BR,77.76,scattered clouds,-2.8856,-40.12,castelo pizzaria
148,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
163,Kokopo,PG,79.75,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
169,Thiruvananthapuram,IN,82.38,mist,8.4833,76.9167,Hotel Residency Tower
171,Malakal,SS,86.65,scattered clouds,9.5334,31.6605,Nile Palace Hotel
172,Kankon,IN,81.07,clear sky,15.0167,74.0167,Palolem Beach Resort
173,Bubaque,GW,77.11,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
177,Carauari,BR,76.95,moderate rain,-4.8828,-66.8958,Hotel Fellip
188,Tibu,CO,84.16,overcast clouds,8.639,-72.7358,Hotel Yuliana's
190,Alofi,NU,80.4,light rain,-19.0595,-169.9187,Taloa Heights
197,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
198,Nakhon Thai,TH,75.92,overcast clouds,17.1006,100.8374,Phet resort
201,Kerema,PG,79.81,broken clouds,-7.9631,145.7785,Frena Lodge
203,Tonj,SS,80.46,broken clouds,7.2737,28.6822,Lakan Hotel
205,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
208,Nabire,ID,75.22,broken clouds,-3.3667,135.4833,Hotel Nusantara I
214,Majene,ID,78.08,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
218,Hurghada,EG,79.23,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
221,Avera,US,82.54,few clouds,33.194,-82.5271,
224,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
233,Witu,KE,82.56,light rain,-2.3889,40.4382,
235,Miri,MY,76.26,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
237,Abu Dhabi,AE,80.62,clear sky,24.4667,54.3667,Beach Rotana
238,Karachi,PK,85.82,scattered clouds,24.9056,67.0822,Sadaat
246,Butaritari,KI,80.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
249,Namatanai,PG,81.59,light rain,-3.6667,152.4333,Seagulls Inn Namatani
