City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Qaqortoq,60.7167,-46.0333,37.9,broken clouds,83,56,3.42,GL
1,Kapaa,22.0752,-159.319,80.58,overcast clouds,76,100,5.99,US
2,Tura,25.5198,90.2201,67.86,broken clouds,91,81,3.76,IN
3,Jiaojiang,28.6803,121.4428,57.99,overcast clouds,93,100,5.86,CN
4,Hithadhoo,-0.6,73.0833,85.17,overcast clouds,68,100,14.29,MV
5,Busselton,-33.65,115.3333,54.84,clear sky,87,0,5.57,AU
6,Airai,-8.9266,125.4092,59.79,broken clouds,84,73,3.04,TL
7,Leningradskiy,69.3833,178.4167,13.59,scattered clouds,86,48,3.87,RU
8,Lagoa,39.05,-27.9833,60.73,clear sky,86,0,9.19,PT
9,High Prairie,55.4334,-116.4858,45.25,overcast clouds,69,100,6.58,CA
10,Ushuaia,-54.8,-68.3,40.66,few clouds,65,20,6.91,AR
11,Virginia Beach,36.8529,-75.978,62.02,overcast clouds,66,100,5.75,US
12,Sabang,5.8933,95.3214,83.88,overcast clouds,75,100,9.6,ID
13,Albany,42.6001,-73.9662,61.57,overcast clouds,29,88,1.01,US
14,Ormara,25.2088,64.6357,84.07,clear sky,76,1,15.68,PK
15,Wukari,7.85,9.7833,82.27,light rain,64,100,6.44,NG
16,Bredasdorp,-34.5322,20.0403,55.18,scattered clouds,89,32,5.35,ZA
17,Khatanga,71.9667,102.5,3.76,overcast clouds,99,94,8.16,RU
18,Marquette,46.5333,-87.6335,53.04,overcast clouds,70,100,13.94,US
19,Port Alfred,-33.5906,26.891,56.17,clear sky,84,1,13.44,ZA
20,Yellowknife,62.456,-114.3525,35.56,scattered clouds,47,32,8.01,CA
21,Vaini,-21.2,-175.2,78.96,broken clouds,94,75,10.36,TO
22,Bosaso,11.2842,49.1816,85.08,scattered clouds,66,46,1.12,SO
23,Kahului,20.8947,-156.47,80.62,scattered clouds,68,40,20.71,US
24,Barrow,71.2906,-156.7887,21.22,clear sky,86,0,3.44,US
25,Diego De Almagro,-26.3667,-70.05,67.33,clear sky,40,0,6.4,CL
26,Bukama,-9.2,25.85,68.29,few clouds,89,21,1.97,CD
27,Zima,53.9202,102.0442,46.83,broken clouds,75,63,4.05,RU
28,Norman Wells,65.282,-126.8329,48.61,scattered clouds,64,26,11.48,CA
29,Xining,36.6167,101.7667,31.42,overcast clouds,84,100,2.04,CN
30,Coihaique,-45.5752,-72.0662,46.35,broken clouds,81,75,5.75,CL
31,Port Elizabeth,-33.918,25.5701,61.32,clear sky,74,6,13.0,ZA
32,Myingyan,21.4667,95.3833,83.62,clear sky,52,5,8.08,MM
33,Palora,-1.7,-77.9333,69.91,overcast clouds,97,99,0.94,EC
34,Saint-Pierre,-21.3393,55.4781,76.68,overcast clouds,79,100,3.44,RE
35,Portland,45.5234,-122.6762,57.88,broken clouds,76,75,5.75,US
36,Cherskiy,68.75,161.3,17.62,overcast clouds,86,88,7.05,RU
37,Solnechnyy,50.7214,136.6319,32.86,broken clouds,71,52,7.34,RU
38,Dingle,10.9995,122.6711,76.87,overcast clouds,88,100,5.99,PH
39,Bengkulu,-3.8004,102.2655,75.2,moderate rain,91,93,5.79,ID
40,Puerto Ayora,-0.7393,-90.3518,78.76,broken clouds,80,70,8.16,EC
41,Elko,41.0002,-115.5012,60.82,overcast clouds,32,100,14.0,US
42,Craig,40.5153,-107.5464,57.15,clear sky,28,0,8.05,US
43,Qaanaaq,77.484,-69.3632,12.94,broken clouds,76,77,2.1,GL
44,Naze,28.3667,129.4833,63.16,moderate rain,71,100,13.27,JP
45,Faanui,-16.4833,-151.75,81.18,light rain,72,9,14.16,PF
46,Sept-Iles,50.2001,-66.3821,43.05,overcast clouds,70,100,10.36,CA
47,Hobart,-42.8794,147.3294,58.86,scattered clouds,57,40,14.97,AU
48,Severo-Kurilsk,50.6789,156.125,35.37,overcast clouds,82,99,12.26,RU
