City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,72.86,85,9,8.23,EC,2022-04-28 23:38:37
1,Rikitea,-23.1203,-134.9692,77.38,64,21,18.39,PF,2022-04-28 23:33:08
2,Puerto Madryn,-42.7692,-65.0385,47.05,33,32,6.85,AR,2022-04-28 23:41:54
3,Caravelas,-17.7125,-39.2481,75.31,85,0,5.35,BR,2022-04-28 23:40:08
4,Punta Arenas,-53.15,-70.9167,42.91,81,40,21.85,CL,2022-04-28 23:41:55
5,Cap-Aux-Meules,47.3821,-61.8597,35.65,100,100,17.27,CA,2022-04-28 23:41:56
6,Hobart,-42.8794,147.3294,64.27,88,20,4.61,AU,2022-04-28 23:41:57
7,Bukama,-9.2,25.85,66.47,95,49,2.01,CD,2022-04-28 23:41:57
8,Ushuaia,-54.8,-68.3,40.66,87,40,25.32,AR,2022-04-28 23:41:58
9,Bluff,-46.6,168.3333,58.8,75,36,6.49,NZ,2022-04-28 23:41:58
10,Tortoli,39.9256,9.6572,58.82,31,0,13.8,IT,2022-04-28 23:41:59
11,Bolshaya Rechka,51.9503,104.7355,32.27,47,28,1.72,RU,2022-04-28 23:42:00
12,Lebu,-37.6167,-73.65,50.54,80,5,15.93,CL,2022-04-28 23:38:37
13,Bredasdorp,-34.5322,20.0403,56.66,94,70,5.68,ZA,2022-04-28 23:38:50
14,Aripuana,-9.1667,-60.6333,77.22,77,100,0.27,BR,2022-04-28 23:41:03
15,Mount Isa,-20.7333,139.5,82.17,57,29,12.66,AU,2022-04-28 23:42:01
16,Qaanaaq,77.484,-69.3632,22.84,94,98,8.08,GL,2022-04-28 23:35:46
17,Jamestown,42.097,-79.2353,44.24,36,0,10.36,US,2022-04-28 23:39:18
18,Faya,18.3851,42.4509,59.11,60,0,6.44,SA,2022-04-28 23:42:03
19,Albany,42.6001,-73.9662,47.62,27,13,1.01,US,2022-04-28 23:38:29
20,Dunedin,-45.8742,170.5036,59.81,62,1,2.73,NZ,2022-04-28 23:39:06
21,Geraldton,-28.7667,114.6,52.21,87,0,8.05,AU,2022-04-28 23:31:27
22,Busselton,-33.65,115.3333,56.48,74,28,4.94,AU,2022-04-28 23:42:04
23,Avarua,-21.2078,-159.775,82.45,74,20,17.27,CK,2022-04-28 23:33:13
24,Phetchabun,16.25,101.0833,73.67,71,100,2.28,TH,2022-04-28 23:42:05
25,Sept-Iles,50.2001,-66.3821,36.12,75,100,13.8,CA,2022-04-28 23:40:14
26,Villach,46.6103,13.8558,46.69,82,8,2.57,AT,2022-04-28 23:42:05
27,Mgandu,-5.95,34.1333,58.32,99,22,5.93,TZ,2022-04-28 23:42:06
28,Kaputa,-8.4689,29.6619,67.71,88,97,6.33,ZM,2022-04-28 23:42:07
29,Hithadhoo,-0.6,73.0833,84.83,69,76,7.38,MV,2022-04-28 23:38:33
30,Hasaki,35.7333,140.8333,59.4,76,92,15.05,JP,2022-04-28 23:42:07
31,Castro,-24.7911,-50.0119,63.32,91,67,3.94,BR,2022-04-28 23:35:59
32,Broken Hill,-31.95,141.4333,64.11,77,40,8.05,AU,2022-04-28 23:42:08
33,Aklavik,68.2191,-135.0107,23.0,68,40,8.05,CA,2022-04-28 23:39:10
34,Severodvinsk,64.5635,39.8302,30.11,87,68,8.97,RU,2022-04-28 23:42:09
35,Adrar,20.5022,-10.0711,75.45,12,0,8.3,MR,2022-04-28 23:42:10
36,Kerema,-7.9631,145.7785,83.28,72,99,3.83,PG,2022-04-28 23:42:11
37,Korsakovo,53.2677,37.3569,36.79,98,100,11.01,RU,2022-04-28 23:42:11
38,New Norfolk,-42.7826,147.0587,63.91,82,8,4.03,AU,2022-04-28 23:35:55
39,Saldanha,-33.0117,17.9442,60.85,92,22,12.06,ZA,2022-04-28 23:40:16
